ELECUNDM	3	FDMULTP	2	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELECUNDR	4	FE	11	2E, 1T, 1E, 1FS
ELECUNDRB	3	FF	3	2E, 1T, 1XT, 1CWFULL, 1FS
ELEVSTFA	3	FH	22	3E, 1T, 1XT, 1E, 1XT, 1BC, 1DC, 1CWFULL, 1TG
ELEVSTFR	4	FE	8	2E, 1T, 1E, 1FS
ELEVSTFRB	4	FF	2	2E, 1T, 1XT, 1CWFULL, 1FS
ELEVSTFRM	4	FDMULTP	1	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
ELEVTR	7	SCT	1	1T, 1ECC, 1FS
ELEVTR1	3	ALS1	1	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
ELEVTRB	4	SCTE	1	1T, 1XT, 1FS
ELEVTRR	7	SCT	7	1T, 1ECC, 1FS
ELEVTRTRP	3	PA1	1	1ALS, 1XT, 1RS, 1E, 1XT, 1E, 1DC, 1CWFULL, 1FS
ENTRAP1	3	PA1	31	1ALS, 1XT, 1RS, 1E, 1XT, 1E, 1DC, 1CWFULL, 1FS
ENTRAP2	3	PA2	2	2ALS, 1XT, 1RS, 1E, 1E, 1XT, 1DC, 1CWFULL, 1FS
ENTRAPHM1	3	PHM	10	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG
ENTRAPHM2	2	PHM	1	2XT, 1ALS, 1RS, 1E, 1HM, 1HMS, 1BC, 1DC, 1E, 1XT, 1CWFULL, 1HIRT, 1FS, 1TG
FALL1	3	ALS1	19	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
FALL2	2	AL2D	8	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
FALLB	5	BLSU9	37	1XT, 1ECC, 1FS, 0BLS
FALLPOL1	3	AL1D	7	1ALS, 1XT, 1MP, 1FS, 1XT, 1E, 1DC, 1CWFULL
FALLPOL2	2	AL2D	2	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
FALLPOLB	5	BLSU9	12	1XT, 1ECC, 1FS, 0BLS
FALLR	7	SCANY	6	1E, 1E, 1FS, 1ECC
FIREOUT	4	FE	48	2E, 1T, 1E, 1FS
FIREOUTH	4	HMADAPT	4	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
FUELODORB	5	FF	2	2E, 1T, 1XT, 1CWFULL, 1FS
FUELODORI	4	FE	1	2E, 1T, 1E, 1FS
FUELODORM	3	FDMULTP	2	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
FUELODORO	5	SE	1	1E, 1ECC, 1FS
FUELSPIL	5	SE	6	1E, 1ECC, 1FS
FUELSPILB	5	FC	13	1E, 1XT, 1FS, 1E, 1XT
FUELSPILM	4	FG	3	2E, 1T, 1XT, 1CWFULL, 1FS
FUELSPILR	6	SE	6	1E, 1ECC, 1FS
FUELSPLH	4	HMLOCAL	23	1E, 1HM, 0HMU, 1CWFULL, 1HIRT, 1SOPS, 1FS
FUELSPLLG	3	HMADAPT	39	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
GASLEAK	5	FE	12	2E, 1T, 1E, 1FS
GASLEAKB	5	FG	13	2E, 1T, 1XT, 1CWFULL, 1FS
GASLEAKM	3	FDMULTP	13	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
GASLEAKO	5	SE	3	1E, 1ECC, 1FS
GASLEAKOB	5	FC	2	1E, 1XT, 1FS, 1E, 1XT
GASLEAKOM	3	FX	2	1E, 1ALS, 2XT, 1FS
GASMAJOR	2	GASFULL	12	5E, 2T, 1RS, 1ALS, 1XT, 1HM, 0HMU, 1HMS, 1BC, 1BC, 2DC, 1CWFULL, 1HIRT, 1SOPS, 1UAS, 1FS, 1TG
GASODOR	5	SE	4	1E, 1ECC, 1FS
GASODORB	5	FC	3	1E, 1XT, 1FS, 1E, 1XT
GASODORI	5	FC	1	1E, 1XT, 1FS, 1E, 1XT
GASODORM	3	FX	4	1E, 1ALS, 2XT, 1FS
HAZE	4	FE	20	2E, 1T, 1E, 1FS
HEART1	3	ALS1	9	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
HEART2	2	ALS2	2	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
HEAT1	3	ALS1	3	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
HEATB	5	BLSU9	5	1XT, 1ECC, 1FS, 0BLS
HEATM	2	MLTP	1	2XT, 2ALS, 1MP, 1CWFULL
HEMM1	3	ALS1	5	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
HEMM2	2	ALS2	1	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
HEMMB	5	BLSU9	9	1XT, 1ECC, 1FS, 0BLS
HMINC	3	HMADAPT	28	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMINCCNMP	4	HMADMPD	8	2E, 1T, 2XT, 2ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMINCCNTD	4	HMADAPT	8	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMINCMPD	3	HMADMPD	28	2E, 1T, 2XT, 2ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMINV	5	HMINVEST	3	1E, 1HM, 0HMU, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS
HMINVEST	4	HMADAPT	54	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMINVSTR	6	HMINVEST	5	1E, 1HM, 0HMU, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS
HMSPILL	4	HMADAPT	13	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
HMSPILS	5	HMINVEST	1	1E, 1HM, 0HMU, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS
HMSPLS	5	HMLOCAL	3	1E, 1HM, 0HMU, 1CWFULL, 1HIRT, 1SOPS, 1FS
HOUSE	2	FJ	7	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
HOUSET	1	FJ	3	5E, 2T, 1RS, 1XT, 1BC, 1BC, 2DC, 1CWFULL, 1FS, 1TG
INHALE1	3	HMADAPT	50	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
INHALEB	4	HMADAPT	10	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
INHALEM	2	HMADMPD	10	2E, 1T, 2XT, 2ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
INJURDMPB	5	BLSM	5	1XT, 1MP, 1FS, 1XT, 1MP
INJURED1	3	ALS1	12	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
INJURED2	2	AL2D	2	2ALS, 1XT, 1MP, 1DC, 1CWFULL, 1FS, 1XT, 1MP
INJUREDB	5	BLSU9	16	1XT, 1ECC, 1FS, 0BLS
INJUREDR	6	BLSR	17	1XT, 1ECC, 0BLS, 1FS
INTRF1	3	ALS1NFR	14	1ALS, 1XT, 1FS, 1ECC
INTRF2	2	ALS2	4	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
INTRFB	5	BLSNFR	19	1XT, 1ECC, 1FS
INTRFMP1	3	ALS1	18	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
INTRFMPB	5	BLSU9	22	1XT, 1ECC, 1FS, 0BLS
INTRFR	5	BLSNFR	3	1XT, 1ECC, 1FS
INVEST	5	SE	33	1E, 1ECC, 1FS
INVESTB	4	FC	13	1E, 1XT, 1FS, 1E, 1XT
INVESTEXH	4	HMADAMPFEI	17	2E, 1T, 2XT, 2ALS, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1BC, 2DC, 1CWFULL, 1FEI, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
INVESTEXP	5	FCFEI	28	1E, 1XT, 1FEI, 1FS, 1E
INVESTM	3	FX	8	1E, 1ALS, 2XT, 1FS
INVESTR	6	SE	3	1E, 1ECC, 1FS
LIGHNINGB	4	FG	9	2E, 1T, 1XT, 1CWFULL, 1FS
LIGHNINGM	3	FDMULTP	15	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
LIGHTNGSE	5	SE	1	1E, 1ECC, 1FS
LIGHTNING	5	FE	11	2E, 1T, 1E, 1FS
LOSTPERR	6	LOST	4	1MP, 1XT, 1UTV, 1CWFULL, 1SAR, 1FS, 1UAS
MO1	3	ALS1	10	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
MOB	5	BLSU9	9	1XT, 1ECC, 1FS, 0BLS
MOPOL1	3	ALS1	33	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
MOPOLB	5	BLSU9	36	1XT, 1ECC, 1FS, 0BLS
MOR	6	BLSR	4	1XT, 1ECC, 0BLS, 1FS
OB1	3	ALS1	25	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
OBB	5	BLSU9	14	1XT, 1ECC, 1FS, 0BLS
OD1	3	ALS1	57	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
OD2	2	ALS2	8	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
ODB	5	BLSU9	14	1XT, 1ECC, 1FS, 0BLS
ODINT1	3	ALS1	23	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
ODINT2	2	ALS2	3	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
ODINTB	5	BLSU9	6	1XT, 1ECC, 1FS, 0BLS
ODORSMK	4	FE	24	2E, 1T, 1E, 1FS
ODPOL1	3	ALS1	36	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
ODPOL2	2	ALS2	6	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
ODPOLB	5	BLSU9	16	1XT, 1ECC, 1FS, 0BLS
ONEDOWNB	5	BLSU9	3	1XT, 1ECC, 1FS, 0BLS
ONEDWN32B	5	BLS32D	1	1XT, 1BLS, 1ECC, 1FS
ORDNCNE	6	EX	6	1BU700, 1FEI, 1SOPS, 1UAS
OUTFIRE	5	SE	30	1E, 1ECC, 1FS
OUTFIREB	4	FC	14	1E, 1XT, 1FS, 1E, 1XT
OUTFIREM	3	FDMULTP	10	2E, 1T, 2XT, 1ALS, 1DC, 1CWFULL, 1FS
OUTFIRER	6	SE	5	1E, 1ECC, 1FS
OUTFIRH	5	HMADAPT	22	2E, 1T, 1ALS, 2XT, 1HM, 0HM751, 0HMU, 1HMS, 1BC, 1DC, 1CWFULL, 1HIRT, 1SOPS, 1FS, 1TG, 1UAS
OUTFRADA	5	FE	24	2E, 1T, 1E, 1FS
OUTFRADAB	3	FF	4	2E, 1T, 1XT, 1CWFULL, 1FS
PANALS1	3	ALS1	17	1ALS, 1XT, 1MP, 1FS, 1XT, 1MP
PANALS2	2	ALS2	6	2ALS, 1XT, 1MP, 1CWEMS, 1FS, 1XT, 1E
PANBLSR	6	BLSR	5	1XT, 1ECC, 0BLS, 1FS
PANMIHR	7	BLSR	7	1XT, 1ECC, 0BLS, 1FS
PANONLYALS	3	ALS1SR	7	1ALS, 1ECC, 1FS
PIC1	3	PA1	20	1ALS, 1XT, 1RS, 1E, 1XT, 1E, 1DC, 1CWFULL, 1FS
PIC2	2	PA2	20	2ALS, 1XT, 1RS, 1E, 1E, 1XT, 1DC, 1CWFULL, 1FS
